hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,lum_class
Kepler-553,G,5266,0.85,0.92,0.21,[Fe/H],-0.261,4.55,2.88,1.83916,V
Kepler-1130,K,5403,0.81,0.9,-0.06,[Fe/H],-0.26,4.57,1.58,1.9628,V
Kepler-1127,K,5664,0.95,0.97,0.04,[Fe/H],-0.259,4.47,4.37,1.89424,V
Kepler-646,K,5634,0.91,0.93,-0.07,[Fe/H],-0.259,4.49,4.57,2.53735,IV-V
Kepler-1237,G,5472,0.9,0.94,0.12,[Fe/H],-0.258,4.5,4.57,4.01964,V
Kepler-598,G,5307,0.86,0.87,0.02,[Fe/H],-0.258,4.51,7.59,1.5731,V
Kepler-1108,K,5406,0.84,0.88,-0.09,[Fe/H],-0.258,4.54,4.17,3.82916,V
HATS-37 A,G,5326,0.88,0.84,0.051,[Fe/H],-0.256,4.48,11.46,0.86724,V
Kepler-1166,G,5446,0.86,0.9,-0.02,[Fe/H],-0.256,4.53,4.9,2.66299,V
Kepler-244,G,5554,0.8,0.96,0.16,[Fe/H],-0.256,4.58,0.5,1.86883,V
Kepler-325,G,5752,1,0.92,0.017,[M/H],-0.255,4.41,8.2,7.88553,V
Kepler-46,K,5155,0.94,0.9,0.41,[M/H],-0.255,4.45,9.7,1.53,IV-V
Kepler-1454,G,5448,0.86,0.9,-0.02,[Fe/H],-0.255,4.53,4.57,1.96539,V
K2-127,K,4575,0.66,0.72,-0.11,[Fe/H],-0.254,4.65,,2.211,V
Kepler-271,G,5555,0.87,0.9,-0.13,[Fe/H],-0.253,4.52,4.57,2.19626,V
Kepler-651,G,5522,0.87,0.92,-0.04,[Fe/H],-0.253,4.53,3.55,1.82855,V
TAP 26,K,4620,1.17,1.04,-0.199,[M/H],-0.25,4.5,0.017,1.26737,V
K2-210,G,5396,0.85,0.91,0.05,[Fe/H],-0.249,4.55,,1.94223,V
