pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_eqt,cluster
0.0474,5.77,51.1,1.45,1513,cluster4
0.0684,1.25,3.78,10.5,1413,cluster4
0.193,2.32,5.99,2.64,477,cluster3
0.0633,2.87,8.6,2,920,cluster4
0.0585,1.29,2.21,5.66,934,cluster4
0.137,2.15,5.27,2.91,766,cluster4
0.121,2.39,6.3,2.54,614,cluster4
0.1396,3.55,12.3,1.51,1040,cluster3
0.0307,2.18,5.39,2.86,1540,cluster4
0.4389,3.68,13.1,1.44,407,cluster2
0.0702,1.99,4.62,3.22,831,cluster4
0.253,2.58,7.18,2.3,498,cluster3
0.0221,1.46,2.73,4.82,1164,cluster4
0.0862,1.18,3.8,13.27,634,cluster4
0.1162,2.22,8.93,4.68,546,cluster4
0.3878,2.28,5.82,2.7,325,cluster2
0.1034,2.33,6.04,2.62,634,cluster4
0.0805,2.36,6.17,2.58,512,cluster4
0.301,2.63,7.41,2.24,524,cluster3
0.3033,3.91,14.5,1.33,376,cluster3
0.3344,1.98,4.58,3.24,1654,cluster3
0.1977,2.21,5.52,2.81,425,cluster3
0.0295,0.89,0.64,4.99,1268,cluster4
0.0354,1.33,2.33,5.44,1217,cluster4
0.047,1.26,2.13,5.85,790,cluster4
0.1269,3.37,9.7,1.38,872,cluster3
0.6372,5.14,36.1,1.47,389,cluster2
0.1338,2.48,6.71,2.42,529,cluster3
0.0218,0.87,0.59,4.92,2024,cluster4
0.0361,1.87,4.16,3.5,802,cluster4
0.0761,2.51,6.85,2.38,914,cluster4
0.0965,2.26,5.73,2.73,675,cluster4
0.0386,1.17,1.71,5.87,1301,cluster4
0.4629,3.01,9.32,1.88,326,cluster2
0.0198,1.28,2.18,5.71,1650,cluster4
0.5238,3.53,12.2,1.52,285,cluster2
