hostname,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,sy_bmag,sy_vmag,sy_gaiamag,lum_class
K2-209,K,4720,0.71,0.74,-0.06,-0.588,4.46,,2.25118,12.081,11.061,10.7447,V
Kepler-1120,K,4904,0.74,0.78,-0.04,-0.588,4.6,4.68,3.06505,16.52,15.494,15.3045,V
Kepler-1481,K,4908,0.75,0.8,0.04,-0.587,4.6,3.89,4.459,16.073,14.929,14.7429,V
Kepler-290,K,5147,0.74,0.8,-0.06,-0.586,4.62,1.1,9.48752,16.586,15.775,15.5648,V
Kepler-99,M,4782,0.73,0.79,0.18,-0.585,4.61,1.47,2.86,15.085,13.206,12.9618,V
Kepler-942,K,4861,0.75,0.81,0.09,-0.585,4.59,4.17,2.12768,14.57,13.25,13.0663,V
Kepler-102,K,4903,0.74,0.8,0.08,-0.584,4.61,1.41,2.76,12.58,12.072,11.4784,V
Kepler-332,K,4955,0.72,0.8,-0.1,-0.584,4.61,2.82,4.39175,15.928,14.243,14.0025,V
Kepler-786,K,4838,0.74,0.81,0.09,-0.583,4.61,2.51,2.25989,16.419,15.253,14.9463,V
K2-53,K,5263,0.81,0.85,-0.037,-0.579,4.55,,2.29,13.473,12.634,12.1478,V
Kepler-1400,K,5044,0.78,0.83,0.04,-0.578,4.58,4.57,2.64871,15.58,16.067,15.7129,V
Kepler-113,K,4725,0.69,0.75,0.05,-0.576,4.64,6.89,2.71,14.99,13.655,13.4598,V
Kepler-258,K,4942,0.92,0.82,0.303,-0.575,4.44,13.7,3.0299,16.737,15.49,15.2012,V
Kepler-1254,G,4985,0.75,0.78,-0.1,-0.572,4.59,5.62,4.55362,16.504,15.541,15.3024,V
Kepler-954,G,4990,0.76,0.82,0.02,-0.572,4.59,3.39,1.87375,14.452,13.095,12.9432,V
Kepler-174,K,4880,0.62,0.6,-0.44,-0.57,4.68,4.9,4.9616,15.539,14.53,14.2858,V
Kepler-992,K,4944,0.74,0.8,-0.04,-0.57,4.6,3.02,2.48007,14.595,13.557,13.3901,V
K2-81,K,4674.13,0.63,0.75,,-0.569,4.67,,2.51722,15.56,14.314,13.9043,V
Kepler-1521,K,5042,0.76,0.81,-0.05,-0.569,4.59,4.47,3.42574,14.115,13.049,12.8476,V
Kepler-1007,K,4587,0.7,0.73,0.03,-0.568,4.62,4.17,4.45642,16.332,14.981,14.7347,V
Kepler-687,K,4841,0.73,0.77,-0.04,-0.567,4.6,5.5,2.64998,16.871,15.695,15.3943,V
Kepler-1140,K,4850,0.73,0.76,-0.08,-0.566,4.61,5.01,5.29946,16.97,15.751,15.4527,V
Kepler-1565,K,4940,0.73,0.76,-0.16,-0.564,4.6,5.62,2.54419,15.05,15.381,15.4317,V
Kepler-1387,K,5046,0.77,0.82,0.02,-0.56,4.58,4.37,4.67079,15.713,14.727,14.5804,V
K2-270,K,4877,0.77,0.85,0.26,-0.558,4.59,,1.88623,14.824,13.847,13.4701,V
Kepler-1076,K,4868,0.74,0.79,-0.01,-0.557,4.6,3.72,2.40067,14.34,13.175,12.9489,V
Kepler-859,K,5020,0.77,0.81,-0.02,-0.556,4.59,4.57,3.65406,17.039,15.977,15.8805,V
Kepler-357,K,5036,0.83,0.79,0.18,-0.556,4.5,13.8,2.0051,16.942,15.735,15.5215,V
Kepler-547,K,4828,0.73,0.78,0.01,-0.555,4.61,2.88,4.148,15.16,14.48,14.207,V
Kepler-1335,K,4903,0.74,0.77,-0.07,-0.555,4.6,4.9,3.76794,16.512,15.248,15.3037,V
Kepler-577,G,4984,0.73,0.78,-0.14,-0.555,4.61,3.8,2.56615,15.627,15.155,14.9368,V
Kepler-1228,K,5063,0.74,0.78,-0.18,-0.555,4.59,5.13,4.14027,16.051,15.061,14.8612,V
Kepler-1030,G,4983,0.76,0.8,-0.01,-0.553,4.59,4.37,2.31795,17.079,16.003,15.7163,V
Kepler-1208,G,5001,0.76,0.8,-0.03,-0.553,4.59,4.47,19.93868,16.872,16.256,15.9464,V
Kepler-531,K,4893,0.75,0.78,-0.03,-0.552,4.58,7.76,2.37735,15.005,13.566,13.2923,V
Kepler-828,K,5039,0.77,0.81,-0.02,-0.543,4.58,4.57,3.92265,16.112,15.374,15.0441,V
Kepler-1223,K,4870,0.75,0.8,0.04,-0.541,4.6,3.63,1.8193,15.706,14.911,14.6119,V
K2-163,K,4937,0.76,0.83,0.14,-0.541,4.71,,2.30261,14.128,13.078,12.8062,V
Kepler-482,K,4871,0.72,0.75,-0.13,-0.539,4.6,6.03,9.17614,14.964,14.049,13.7621,V
Kepler-1384,K,4919,0.74,0.78,-0.06,-0.539,4.6,4.57,2.40021,14.837,15.7578,15.446,V
Kepler-229,K,5120,0.73,0.8,0.16,-0.538,4.63,1.1,3.16464,16.884,16.22,15.8265,V
Kepler-1608,G,4992,0.72,0.75,-0.24,-0.537,4.61,5.13,1.98837,16.631,16.265,15.8947,V
Kepler-1167,K,4971,0.75,0.79,-0.05,-0.536,4.6,4.27,2.85817,17.133,16.047,15.9292,V
Kepler-1389,K,5078,0.74,0.81,-0.14,-0.534,4.61,2.09,2.61033,15.946,14.896,14.6836,V
Kepler-1013,K,4954,0.76,0.81,0.04,-0.531,4.59,4.27,1.79457,15.899,14.563,14.4077,V
Kepler-1148,K,5054,0.77,0.81,-0.02,-0.531,4.58,4.57,8.38181,16.487,15.533,15.2812,V
Kepler-1266,K,5044,0.76,0.8,-0.07,-0.53,4.59,5.13,0.36789,17.12,16.016,15.836,V
Kepler-1168,K,5157,0.82,0.87,0.13,-0.53,4.56,4.27,2.97042,16.633,15.755,15.6088,V
Kepler-1604,K,4976,0.76,0.81,0.02,-0.527,4.59,4.17,3.06854,16.078,15.224,14.8989,V
K2-118,K,4726.29,0.73,0.76,0.129,-0.526,4.53,,2.22691,15.032,14,13.7484,V
Kepler-659,K,4870,0.74,0.79,0.02,-0.526,4.6,3.24,2.08906,16.535,15.758,15.5655,V
WASP-29,K,4800,0.79,0.77,0.11,-0.525,4.5,14,2.22,12.155,11.331,10.8932,V
Kepler-240,G,4985,0.74,0.75,0.18,-0.524,4.63,0.9,2.49621,16.994,15.953,15.6622,V
Kepler-1680,K,5021,0.72,0.83,0.2,-0.524,4.64,13.8,3.10778,14.814,13.85,13.6931,V
K2-283,K,5060,0.82,0.89,0.28,-0.524,4.56,,2.861,15.516,14.364,14.1316,V
Kepler-566,K,5132,0.79,0.83,-0.01,-0.524,4.57,4.57,6.2581,16.255,15.217,14.9644,V
Kepler-1459,K,4828,0.74,0.78,0.01,-0.523,4.61,3.89,2.81287,16.439,14.893,14.5519,V
Kepler-1261,K,5006,0.77,0.82,0.03,-0.523,4.58,4.47,7.26483,16.695,15.817,15.5817,V
K2-179,K,5015,0.77,0.82,0.03,-0.523,4.63,,3.34951,14.01,12.939,12.691,V
Kepler-599,K,5127,0.79,0.83,-0.02,-0.522,4.57,5.01,2.0611,16.201,15.067,14.9483,V
Kepler-1059,K,4906,0.72,0.75,-0.15,-0.52,4.61,5.37,3.72577,16.236,15.785,15.4894,V
Kepler-1423,K,4939,0.75,0.79,-0.02,-0.52,4.59,4.68,6.49067,15.924,14.721,14.5581,V
Kepler-1529,K,5048,0.77,0.81,-0.03,-0.52,4.58,4.79,10.95654,16.716,15.297,15.3885,V
Kepler-1698,K,4975.03,0.74,0.82,0.08,-0.518,4.61,,2.84025,14.063,13.054,12.8761,V
Kepler-489,K,5014,0.76,0.82,0,-0.518,4.59,3.31,3.04681,15.813,14.221,14.0178,V
Kepler-735,K,5107,0.8,0.85,0.07,-0.517,4.57,4.37,11.97771,16.489,15.492,15.3849,V
Kepler-1242,K,4895,0.74,0.77,-0.05,-0.516,4.6,5.62,4.07205,17.084,15.714,15.4984,V
Kepler-389,G,5376,0.79,0.81,0.16,-0.516,4.57,4.68,3.06944,16.752,15.769,15.7495,V
Kepler-486,K,4926,0.75,0.79,-0.04,-0.514,4.6,4.47,1.51656,16.101,14.615,14.3799,V
Kepler-224,K,5018,0.68,0.82,-0.27,-0.514,4.64,2.29,2.69909,16.639,15.801,15.6358,V
Kepler-472,G,4996,0.78,0.85,0.16,-0.513,4.59,2.69,0.27531,15.427,13.898,13.6698,V
Kepler-975,K,4897,0.75,0.8,0.07,-0.512,4.59,3.89,2.55402,16.118,14.633,14.4518,V
K2-274,K,5065,0.74,0.81,-0.13,-0.509,4.61,,2.98,14.119,13.181,12.8852,V
Kepler-1694,K,4954,0.76,0.82,0.14,-0.508,4.59,0.7,2.67254,15.898,14.901,14.7519,V
Kepler-847,K,4940,0.77,0.83,0.15,-0.507,4.58,3.89,2.42571,16.392,14.998,14.7799,V
Kepler-675,K,4945,0.75,0.79,-0.05,-0.507,4.6,4.68,1.80464,16.563,15.605,15.3356,V
Kepler-1008,K,5066,0.78,0.81,-0.01,-0.507,4.56,6.76,3.15618,14.717,13.59,13.379,V
EPIC 212297394,G,4987.49,0.75,0.83,,-0.505,4.58,,2.50384,15.377,14.611,14.1864,V
K2-289,G,5529,1.02,0.95,0.162,-0.505,4.39,,1.24,15.839,14.81,13.7943,V
